2020-04-26 12:06:15.969 +01:00 [Information] Loading Messages from the Following Path(s) ["C:\Users\Wesley\AppData\Roaming\Papercut", "C:\Users\Wesley\Desktop\Project\Year%202%20Project\rental_server\papercut\", "C:\Users\Wesley\Desktop\Project\Year%202%20Project\rental_server\papercut\Incoming"]
2020-04-26 12:06:16.011 +01:00 [Information] Default Message Save Path is Set to "C:\Users\Wesley\AppData\Roaming\Papercut"
2020-04-26 12:06:17.464 +01:00 [Information] Papercut Version 5.5.1+Branch.master.Sha.f4164fe982d25b92ed439472e8c2dc4771a348ff
2020-04-26 12:06:17.465 +01:00 [Information] Attempting to Load Rules from "C:\Users\Wesley\Desktop\Project\Year%202%20Project\rental_server\papercut\rules.json" on AppReady
2020-04-26 12:06:17.969 +01:00 [Information] IPComm Server Ready: Listening for New Connections at "127.0.0.1":37402
2020-04-26 12:06:18.111 +01:00 [Information] Starting Smtp Server on "0.0.0.0":25...
2020-04-26 12:07:19.236 +01:00 [Information] New SMTP connection from "0.0.0.0"
2020-04-26 12:07:19.316 +01:00 [Information] Successfully Saved email message: "C:\Users\Wesley\AppData\Roaming\Papercut\20200426120719303 Account for Vortex Rentals succesfully fc3512.eml"
2020-04-26 12:07:19.320 +01:00 [Information] Completed SMTP connection from "0.0.0.0"
2020-04-26 12:07:21.344 +01:00 [Information] New SMTP connection from "0.0.0.0"
2020-04-26 12:07:21.351 +01:00 [Information] Successfully Saved email message: "C:\Users\Wesley\AppData\Roaming\Papercut\20200426120721346 Account for Vortex Rentals succesfully a532af.eml"
2020-04-26 12:07:21.351 +01:00 [Information] Completed SMTP connection from "0.0.0.0"
2020-04-26 12:08:52.258 +01:00 [Information] New SMTP connection from "0.0.0.0"
2020-04-26 12:08:52.265 +01:00 [Information] Successfully Saved email message: "C:\Users\Wesley\AppData\Roaming\Papercut\20200426120852260 Account for Vortex Rentals succesfully aad952.eml"
2020-04-26 12:08:52.265 +01:00 [Information] Completed SMTP connection from "0.0.0.0"
2020-04-26 12:08:54.288 +01:00 [Information] New SMTP connection from "0.0.0.0"
2020-04-26 12:08:54.296 +01:00 [Information] Successfully Saved email message: "C:\Users\Wesley\AppData\Roaming\Papercut\20200426120854292 Account for Vortex Rentals succesfully 030b95.eml"
2020-04-26 12:08:54.297 +01:00 [Information] Completed SMTP connection from "0.0.0.0"
2020-04-26 12:09:06.196 +01:00 [Information] New SMTP connection from "0.0.0.0"
2020-04-26 12:09:06.203 +01:00 [Information] Successfully Saved email message: "C:\Users\Wesley\AppData\Roaming\Papercut\20200426120906198 Account for Vortex Rentals succesfully d2f74e.eml"
2020-04-26 12:09:06.203 +01:00 [Information] Completed SMTP connection from "0.0.0.0"
2020-04-26 12:09:08.228 +01:00 [Information] New SMTP connection from "0.0.0.0"
2020-04-26 12:09:08.234 +01:00 [Information] Successfully Saved email message: "C:\Users\Wesley\AppData\Roaming\Papercut\20200426120908230 Account for Vortex Rentals succesfully 6e825e.eml"
2020-04-26 12:09:08.235 +01:00 [Information] Completed SMTP connection from "0.0.0.0"
2020-04-26 12:09:17.672 +01:00 [Information] New SMTP connection from "0.0.0.0"
